Code7,Affiliation Code,STATE
KBL,Kindred Hospital Of Dallas,TX
KBM,Klickitat Valley Health,WA
KBN,USC Norris Cancer Hospital,CA
KBO,Kindred Hospital-Greensboro,NC
KBP,Kings Mountain Hospital,NC
KBR,Kilmichael Hospital,MS
KBS,Kidspeace Children's Hospital,PA
KBT,Kentucky River Medical Center,KY
KBV,Kalkaska Memorial Health Center,MI
KBW,Aspirus Keweenaw Hospital,MI
KBZ,Kit Carson County Hlth Svs Dis,CO
KCB,Kiowa District Hospital,KS
KCC,Kula Hospital & Clinic,HI
KCD,Kohala Hospital,HI
KCE,Kindred Chicago Central Hosp,IL
KCH,Knox Community Hospital,OH
KCJ,Kerrville State Hospital,TX
KCK,Touchette Regional Hospital,IL
KCL,Kindred Hospital-Boston N Shore,MA
KCM,Kindred Hospital-Boston,MA
KCO,Kessler Institute For Rehab,NJ
KCP,Kessler Institute Rehab,NJ
KCQ,Kennedy Hospital Wshngtn Twnshp,NJ
KCR,Kennedy University Hosp-Strat,NJ
KCS,Kirby Forensic Psychiatric Ctr,NY
KCT,Keller Army Community Hospital,NY
KCU,Kingsboro Psychiatric Center,NY
KCV,Kindred Hospital-Pittsburgh,PA
KCW,Keystone Center,PA
KCY,Kosciusko Community Hospital,IN
KCZ,Kindred Hospital-Philadelphia,PA
KDA,Kensington Hospital,PA
KDB,Kirkbride Center,PA
KDD,Armed Forces Retirement Home,DC
KDE,The Kimmel Cancr Ctr Jhns Hpkns,MD
KDF,Kluge Children's Rehab Ctr,VA
KDG,Newport News Behavioral Health,VA
KDH,Kaweah Delta Healhcare District,CA
KDJ,Old Vineyard Behavioral Hlth,NC
KDK,Kirkland Infirmary,SC
KDL,Vibra Hospital Of Charleston,SC
KDM,Kindred Hospital-Atlanta,GA
KDN,Kindred Hospital North Florida,FL
KDO,Kindred Hospital-Hollywood,FL
KDP,Kindred Hosp Sth Fl Crl Gbls,FL
KDQ,Kindred Hospital Central Tampa,FL
KDR,Kindred Hospital Bay Area Tampa,FL
KDS,Kindred Hospital-Saint Petrsbrg,FL
KDT,Kindred Hospital-Chattanooga,TN
KDW,Keesler Medical Center,MS
KDX,King's Daughters Medical Center,MS
KDY,Kentucky Correctional Psych Ctr,KY
KDZ,Kentucky State Reformatory,KY
KEB,Healthspan,OH
KEC,Kettering Behavioral Medcn Ctr,OH
KED,Kendall Regional Medical Center,FL
KEE,Kindred Hospital Indianapls Sth,IN
KEF,Kindred Hospital Indianapolis,IN
KEG,Vibra Hospital South Eastern MI,MI
KEH,Kingswood Hospital,MI
KEI,Kalamazoo Psychiatric Hospital,MI
KEJ,Kimball Ridge Center - Horizons,IA
KEK,Post Acute Specialty Hospital,WI
KEL,Spectrum Health Kelsey Hospital,MI
KEM,Kenmore Mercy Hospital,NY
KEN,Kent Memorial Hospital,RI
KEO,Acadia Montana,MT
KEP,Kindred Hospital Chicago Nrthlk,IL
KEQ,Kindred Hospital-Sycamore,IL
KER,Southeast Michigan Surgicl Hosp,MI
KES,Kindred Hospital Chicago North,IL
KET,Kettering Medical Center,OH
KEU,Kindred Chicago Lakeshore,IL
KEV,Kindred Hospital Saint Louis,MO
KEW,Kindred Hospital Kansas City,MO
KEX,Kansas City Orthopaedics Inst,KS
KEZ,Kansas Neurological Institute,KS
KFA,Kansas Rehabilitation Hospital,KS
KFB,Kingman Community Hospital,KS
KFC,Kansas Surgery & Recovery Ctr,KS
KFD,Kearney County Health Services,NE
KFE,Kimball Health Services,NE
KFF,Kindred Hospital New Orleans,LA
KFH,Kindred Hospital Oklahoma City,OK
KFI,Kindred Hospital Whiterock,TX
KFJ,Kindred Hospital-Arlington,TX
KFK,Kindred Hospital Fort Worth,TX
KFL,Kindred Hospital-Frt Wth Sthwst,TX
KFM,Kell West Regional Hospital,TX
KFN,Kimble Hospital,TX
KFO,Kindred Hospital-Houstn Med Ctr,TX
KFP,Kindred Hospital Houstn Nrthwst,TX
KFQ,Kindred Hospital Bay Area,TX
KFR,Kindred Hospital Of San Antonio,TX
KFS,Kindred Hospital-Denver,CO
KFT,Keefe Memorial Hospital,CO
KFU,Kindred Hospital-Phoenix,AZ
KFV,Kindred Hospital Tucson,AZ
KFW,Kindred Hospital-Albuquerque,NM
KFX,Kedren Community Mental Health,CA
KFY,Kaiser Permanente Mental Health,CA
KFZ,Kaiser Permnte Ls Angls Med Ctr,CA
KGA,Kaiser Prmnte Wst Ls Angls Med,CA
KGB,Kindred Hospital-Los Angeles,CA
KGC,Kaiser Permanente Medical Ctr,CA
KGD,Kaiser Permanente Medical Ctr,CA
KGF,Kaiser Woodland Hlls Med Ctr,CA
KGG,Kaiser Permanente Panorama City,CA
KGH,Peacehealth Ketchikan Med Ctr,AK
KGI,Kaiser Permanente Medical Ctr,CA
KGJ,Kindred Hospital Ontario,CA
KGK,Kindred Hospital West Covina,CA
KGL,Kindred Hospital San Diego,CA
KGM,Kaiser Permanente Medical Ctr,CA
KGN,Kaiser Permanente Fntna Med Ctr,CA
KGO,Kaiser Permanente Rvrsd Med Ctr,CA
KGP,Pacific Grove Hospital,CA
KGQ,Kindred Hospital-Westminster,CA
KGR,Kaiser OC Anaheim Medical Ctr,CA
KGS,Kindred Hospital Brea,CA
KGT,Kaweah Delta South Campus,CA
KGU,Kaiser Permanente Medical Ctr,CA
KGV,Kaiser Permanente Redwood City,CA
KGW,Kaiser Permanente Medical Ctr,CA
KGX,Kaiser Foundation Hospital,CA
KGY,Kaiser Permanente Med Ctr-Hywrd,CA
KHA,Kindred Hospital San Frncsco By,CA
KHB,Kaiser Permanente Medical Ctr,CA
KHC,Kaiser Prmnte Walnt Crk Med Ctr,CA
KHD,Kaiser Permanente Oklnd Med Ctr,CA
KHE,Kaiser Permanente Medical Ctr,CA
KHF,Kaiser Permante Med Ctr Sn Rafl,CA
KHG,Kentfield Rehab Speclty Hosp,CA
KHH,Kaiser Permanente Medical Ctr,CA
KHI,Kaiser Permnente Med Ctr Sn Jse,CA
KHK,Kaiser Permanente Medical Ctr,CA
KHL,Vibra Hospital Sacramento,CA
KHM,Kaiser Permanente Medical Ctr,CA
KHN,Kaiser Permanente,CA
KHO,Kaiser Permanente Med Ctr,CA
KHP,Health Alliance Hosp Brdwy Cmps,NY
KHR,Kahi Mohala Hospital,HI
KHS,Ka'u Hospital,HI
KHT,Kauai Veterans Memorial Hosp,HI
KHU,Kaiser Permanente Mnlua Med Ctr,HI
KHV,Kaiser Sunnyside Medical Center,OR
KHW,Kitsap Mental Health Services,WA
KHX,Kanakanak Hospital,AK
KHY,Kindred Hospital-Mansfield,TX
KLN,Kern Medical Center,CA
KMC,Kuakini Health System,HI
KNC,Knapp Medical Center,TX
KON,Kona Community Hospital,HI
KRM,Kingman Regional Medical Center,AZ
KWK,Trios Health,WA
KWM,Kindred Hosp Cleveland Gateway,OH
KX7,Knox County Hospital,KY
KYH,Kennedy University Hospital,NJ
L01,Lakeway Regional Medical Center,TX
L02,Lifeline Hospital,OH
LA2,Las Colinas Medical Center,TX
LA3,Licking Memorial Hospital,OH
LA5,LAC USC Medical Center,CA
LA6,Liberty Regional Medical Center,GA
LA7,Little Company Of Mary Hospital,IL
LA9,Centra Lynchburg General Hosp,VA
LAA,Lawrence & Memorial Hospital,CT
LAB,Northwestern Lake Forest Hosp,IL
LAC,Lifecare Hospitals Of NC,NC
LAD,Laredo Medical Center,TX
LAE,Lake Martin Community Hospital,AL
LAF,Lafayette General Medical Ctr,LA
LAG,Lake Granbury Medical Center,TX
LAH,Iowa Lutheran Hospital,IA
LAI,Laurel Regional Hospital,MD
LAJ,Lakewood Regional Medical Ctr,CA
LAK,Bronson Lakeview Hospital,MI
LAL,Lyndon Baines Johnson Gen Hosp,TX
LAO,Long Island Jewish Medical Ctr,NY
LAP,LDS Hospital,UT
LAQ,Largo Medical Ctr Indian Rocks,FL
LAR,Larkin Community Hospital INC,FL
LAS,Lankenau Medical Center,PA
LAT,Lake Cumberland Regional Hosp,KY
LAU,Lake Region Healthcare,MN
LAV,Lucile Packard Children's Hosp,CA
LAW,Lower Bucks Hospital,PA
LAX,Mc Leod Loris Hospital,SC
LAY,Lake Pointe Medical Center,TX
LAZ,Lane Regional Medical Center,LA
LB1,Logan Regional Medical Center,WV
LB2,Leonard J Chabert Medical Ctr,LA
LB3,Lexington Medical Center,SC
LB4,Lawrence County Hospital,MS
LB5,Lea Regional Medical Center,NM
LB6,Los Angeles Community Hospital,CA
LB7,Inova Loudoun Hospital,VA
LB8,Lake City Medical Center,FL
LB9,Livingston Regional Hospital,TN
LBB,Lower Keys Medical Center,FL
LBD,Tri-Point Medical Center,OH
LBE,Laughlin Memorial Hospital,TN
LBF,Lawrence Memorial Hospital,KS
LBG,Littleton Adventist Hospital,CO
LBH,Lake Butler Hospital,FL
LBI,Las Palmas Medical Center,TX
LBJ,SageWest Health Care Lander,WY
LBK,Leesburg Regional Med Ctr,FL
LBL,GHS Laurens County Mem Hosp,SC
LBM,Long Beach Memorial Medical Ctr,CA
LBN,Longview Regional Medical Ctr,TX
LBO,Loma Linda University Med Ctr,CA
LBQ,Lake Regional Health System,MO
LBR,Spearfish Regional Hospital,SD
LBS,Laurel Heights Hospital,GA
LBT,Lawrence Memorial Hospital,AR
LBU,Bryan Medical Center West Cmps,NE
LBV,Health Alliance Hosp Leominster,MA
LBW,Los Alamos Medical Center,NM
LBY,Lewis-Gale Medical Center,VA
LBZ,Centracare Health-Long Prairie,MN
LC1,Lowell General Hospital,MA
LC2,Lincoln Trail Behav Hlth Sys,KY
LC5,Northern Louisiana Medical Ctr,LA
LC6,Le Bonheur Children's Hospital,TN
LC8,Mercy Health Lakeshore,MI
LC9,Laurel Ridge Treatment Center,TX
LCA,Lee's Summit Medical Center,MO
LCB,University Health Center,LA
LCD,Lompoc Valley Medical Center,CA
LCE,Lenoir Memorial Hospital,NC
LCF,Livingston Hospital Hlth Cr Svs,KY
LCH,NY Presbyterian Lawrence Hosp,NY
LCI,Longmont United Hospital,CO
LCJ,Borgess Lee Memorial Hospital,MI
LCK,Lockhaven Hospital,PA
LCL,Lewis County General Hospital,NY
LCN,Carolinas Healthcare Sys-Lincln,NC
LCO,George H Lanier Memorial Hosp,AL
LCP,Louis Smith Memorial Hospital,GA
LCQ,Orlando Reg Med Ctr Lucrne Pvln,FL
LCR,Lakeside Behavioral Health Sys,TN
LCS,Little Falls Hospital,NY
LCT,Scott & White Hospital Llano,TX
LCU,Lakeland Regional Medical Ctr,FL
LCW,Greenwood Leflore Hospital,MS
LCX,Lancaster Regional Medical Ctr,PA
LCY,Prvdnce Littl Cmpny Mry Med Ctr,CA
LD1,Lakeview Hospital,MN
LD4,Lady Of The Sea General Hosp,LA
LD5,Mc Laren-Lapeer Region,MI
LD6,Lake View Memorial Hospital,MN
LD7,Lemuel Shattuck Hospital,MA
LD8,Lindsborg Community Hospital,KS
LDA,Latimer County General Hospital,OK
LDB,Lakeway Regional Hospital,TN
LDC,La Palma Intercommunity Hosp,CA
LDD,Banner Lassen Medical Center,CA
LDF,Baptist Medical Center Leake,MS
LDG,Parkview Lagrange Hospital,IN
LDH,Laird Hospital,MS
LDJ,Logan Memorial Hospital,KY
LDK,Linton Hospital Med Cntr,ND
LDM,Landmark Medical Center,RI
LDN,Sanford Luverne Medical Center,MN
LDO,Lawrence Memorial Hospital,MA
LDP,Lincoln Hospital,WA
LDR,Lincoln Medical Center,TN
LDS,Lourdes Hospital,KY
LDT,Tulane Lakeside Hospital,LA
LDV,Sanford Hospital Webster,SD
LDW,Lincoln County Medical Center,NM
LDX,Lakeside Medical Center,MN
LDY,Lower Umpqua Hospital,OR
LDZ,Loyola University Medical Ctr,IL
LE2,Legacy Mount Hood Medical Ctr,OR
LE3,Samaritan Lebanon Comm Hosp,OR
LE4,Livingston Healthcare,MT
LE5,Lourdes Medical Center,WA
LE6,Los Ninos Hospital,AZ
LE7,Lincoln Medical & Mntl Hlth Ctr,NY
LE8,Landmann Jungman Memorial Hosp,SD
LEA,Lifecare Hospitals Of Dallas,TX
LEB,Labette Health,KS
LEC,Lodi Community Hospital,OH
LEF,The Villages Regional Hospital,FL
LEH,Lehigh Valley Hospital,PA
LEJ,Loring Hospital,IA
LEK,Aurora Las Encinas Hospital,CA
LEL,Little River Memorial Hospital,AR
LEN,Lenox Hill Hospital,NY
LEO,Lackey Memorial Hospital,MS
LEP,Allegiance Specialty Hospital,TX
LEQ,Lawrence County Memorial Hosp,IL
LES,Lapaz Regional Hospital,AZ
LET,New Mexico Behavioral Health,NM
LEU,Levi Hospital,AR
LEV,Lonesome Pine Hospital,VA
LEX,Lost Rivers Medical Center,ID
LEY,Lake Chelan Community Hospital,WA
LF1,Liberty-Dayton Reg Med Ctr,TX
LF2,Lillian Hudspeth Memorial Hosp,TX
LF4,Lynn County Hospital District,TX
LF6,Palmdale Regional Medical Ctr,CA
LF9,Lamb Healthcare Center,TX
LFA,Windsor Laurlwd Ctr Bhvrl Medcn,OH
LFD,La Rabida Children's Hospital,IL
LFE,Linden Oaks At Edward,IL
LFF,Loretto Hospital,IL
LFG,Lakeland Community Hospital,MI
LFH,Larue Carter Memorial Hospital,IN
LFI,Mercy Hospital Of Logan County,OK
LFJ,Lakeview Medical Center,WI
LFK,Langlade Hospital,WI
LFL,Mayo Clinic Hlth Sys Eau Claire,WI
LFM,Lakes Regional Health Care,IA
LFN,Lucas County Health Center,IA
LFO,Lafayette Regional Health Ctr,MO
LFQ,Lakeland Behavioral Health Sys,MO
LFR,Lester E Cox Medical Center,MO
LFS,Lincoln County Medical Center,MO
LFT,Lakeside Women's Hospital,OK
LFU,Litzenberg Memorial County Hosp,NE
LFV,Lane County Hospital,KS
LFW,Lincoln County Hospital,KS
LFX,Logan County Hospital,KS
LFY,La Salle General Hospital,LA
LFZ,Lake District Hosp/Lng Trm Cr,OR
LGA,Lakeland Community Hospital,AL
LGC,Lifecare Hospitals Of Pittsbrgh,PA
LGD,Lawrence Medical Center,AL
LGE,L V Stabler Memorial Hospital,AL
LGH,Advocate Lutheran General Hosp,IL
LGI,West Medical Center,OH
LGJ,Exempla Lutheran Medical Center,CO
LGK,Lincoln Community Hosp & Cr Ctr,CO
LGL,Lourdes Medical Ctr Burlington,NJ
LGM,North Campus Rehab & Nursng Ctr,FL
LGN,Adventist La Grange Mem Hosp,IL
LGQ,Medical Center Of Lewisville,TX
LGU,Franciscan St Eliz Hlth E Cmps,IN
LGV,Legacy Emanuel Medical Center,OR
LGW,Legacy Salmon Creek Medical Ctr,WA
LGX,Sentara Leigh Hospital,VA
LGY,Lakeland Healthcare,MI
LHA,L'acadie,ME
LHC,Lebanon VA Medical Center,PA
LHD,Lehigh Valley Hospital Muhlnbrg,PA
LHE,Lehigh Valley Hospital Cdr Crst,PA
LHF,Livengrin Foundation,PA
LHG,Levindale Hebrew Geriatric Ctr,MD
LHH,Leahi Hospital,HI
LHI,Lake Taylor Transitional Care,VA
LHJ,Lewis-Gale Behavioral Health,VA
LHK,Life Center Of Galax,VA
LHL,Excela Health Latrobe Hospital,PA
LHN,Louis A Johnson VA Medical Ctr,WV
LHO,Lake City Community Hospital,SC
LHP,Lutheran Medical Center,NY
LHQ,Lakeview Center,FL
LHR,La Amistad Behavioral Hlth Svs,FL
LHS,Lakeside Behavioral Health Care,FL
LHT,Lakeside Behavioral Healthcare,FL
LHU,Lehigh Regional Medical Center,FL
LHV,Lifestream Behavioral Center,FL
LHW,Lawnwood Pavilion,FL
LHX,Noland Hospital Montgomery,AL
LIB,London Correctional Institution,OH
LIC,Lorain Correctional Institution,OH
LID,Louis Stokes VA Medical Center,OH
LIE,Lebanon Correctional Institute,OH
LIF,Lifecare Hospitals Of Dayton,OH
LIH,Liberty Hospital,MO
LIJ,Lakeview Specialty Hosp & Rehab,WI
LIK,Libertas Treatment Center,WI
LIM,Lodi Memorial Hospital,CA
LIN,Mayo Clinic Health Sys Lk Cty,MN
LIO,Lakewood Health Center,MN
LIQ,Lisbon Area Health Services,ND
LIR,Liberty Medical Center,MT
LIT,Lansing Correctional Facility,KS
LIU,Larned State Hospital,KS
LIV,Lincoln Regional Center,NE
LIZ,Our Lady Of The Angels Hospital,LA
LJA,Lakeview Reg Med Cntr,LA
LJB,Lallie Kemp Reg Medical Center,LA
LJD,Lifecare Hospital North,LA
LJE,Lifecare Hospital Main Campus,LA
LJF,Lifecare Hospitals Of Pierrmont,LA
LJG,University Health Conway,LA
LJI,Lawton Indian Hospital,OK
LJJ,Laureate Psychiatric Clin/Hosp,OK
LJL,Lifecare Hosp Of Fort Wort,TX
LJM,Lavaca Medical Center,TX
LJN,La Hacienda Treatment Center,TX
LJO,Lifecare Hospitals San Antonio,TX
LJP,Lifecare Hospitals Of South Tx,TX
LJQ,Covenant Womens/Childrens Hosp,TX
LJR,Las Palmas Del Sol Rehab Hosp,TX
LJS,Colorado Acute Care Hospital,CO
LJT,Los Angeles Shrffs Dept Med Svs,CA
LJW,La Paz At Paramount,CA
LJX,La Casa Mental Health Center,CA
LJY,Landmark Medical Center,CA
LJZ,Lanterman Developmental Center,CA
LKA,Loma Linda University Med East,CA
LKB,Loma Linda Univ Bhvrl Medcn Ctr,CA
LKC,Lake Charles Memorial Hospital,LA
LKD,Laguna Honda Hosp & Rehab Ctr,CA
LKE,North Vista Hospital,NV
LKF,UCSF Langley Porter Psych Hosp,CA
LKH,Lodi Memorial Hospital West,CA
LKJ,Lana'i Community Hospital,HI
LKK,Legacy Good Samaritan Hospital,OR
LKL,Lakeside Milam Recovery Center,WA
LKM,Lourdes Counseling Center,WA
LKP,Eastern Niagara Hospital,NY
LKQ,Noland Hospital Anniston,AL
LKR,Lake Norman Regional Med Ctr,NC
LKS,Noland Hospital Dothan,AL
LKT,Noland Hospital Birmingham,AL
LKU,Medical Center Barbour,AL
LKW,Lake Wales Medical Center,FL
LKZ,Lane Frost Health & Rehab Ctr,OK
LLA,Lifecare Hospitals Of Plano,TX
LLB,Lahey Medical Center,MA
LLC,Lakewood Ranch Medical Center,FL
LLD,Lutheran Gen Hos Adv Chld Hosp,IL
LLE,Randall Childrens Hospital,OR
LLF,Lubbock Heart & Surgcl Hosp,TX
LMC,Limestone Medical Center,TX
LMH,Lima Memorial Health System,OH
LMM,Lee Memorial Health Systems,FL
LNH,Lutheran Hospital,OH
LOS,Los Robles Hospital & Med Ctr,CA
LPF,Florida Hospital Lake Placid,FL
LPH,Indiana Unvsty Hth La Prte Hosp,IN
LPM,Logansport State Hospital,IN
LRG,Lakes Region General Hospital,NH
LRH,Logan Regional Hospital,UT
LRM,Lakeland Specialty Hospital,MI
LSA,Los Alamitos Medical Center,CA
LTL,Littleton Regional Healthcare,NH
LUP,Lutheran Hospital Of Indiana,IN
LVH,Lakeview Hospital,UT
LWN,Lawnwood Reg Med Ctr Hrt Inst,FL
LWO,Lakewood Hospital,OH
LWP,Geisinger- Lewistown Hospital,PA
LWR,Lawrence General Hospital,MA
LXT,Wake Forst Bap Hlth Lxgtn Med,NC
LYB,Lahey Hospital & Medical Center,MA
M03,Memorial Hermann Northwest Hosp,TX
M7C,Dallas Regional Medical Center,TX
MA1,Metropolitan Hospital Center,NY
MA2,Memorial Hospital,PA
MA3,Murray County Medical Center,MN
MA4,Mckee Medical Center,CO
MA6,Memorial Hospital,PA
MA8,Monterey Park Hospital,CA
MAA,Morehead Memorial Hospital,NC
MAC,Manchester Memorial Hospital,CT
MAD,Medical Center Arlington,TX
MAE,Marion Regional Medical Center,AL
MAF,Avera Mckennan Hospital,SD
MAG,Bon Secours Maryview Med Ctr,VA
MAH,Mount Auburn Hospital,MA
MAJ,Mercy Medical Center,MA
MAK,Saint Vincent's Blount,AL
MAL,Montefiore Mount Vernon,NY
MAM,Millard Fillmore Suburban Hosp,NY
MAN,Saint Charles Madras,OR
MAO,Medical Center Of Aurora North,CO
MAP,Massachusetts General Hospital,MA
MAR,Mckenzie Health System,MI
MAS,Miners Colfax Medical Center,NM
MAT,Maimonides Medical Center,NY
MAU,Maui Memorial Medical Center,HI
MAW,Memorial Medical Center,IL
MAX,Martin General Hospital,NC
MAY,Christus Santa Rosa Hosp-Nw Brn,TX
MB1,Mariners Hospital,FL
MB2,Memorial Medical Center,NM
MB3,Meyersdale Medical Center,PA
MB4,Baystate Mary Lane Hospital,MA
MB5,Mary Lanning Healthcare,NE
MB7,Midlands Hospital,NE
MB8,Meadville Medical Center,PA
MB9,St Thomas Rutherford Hospital,TN
MBA,Mercy Regional Health Center,KS
MBB,Shore Medical Center At Easton,MD
MBC,Kaiser Medical Cntr Moreno Vly,CA
MBD,Multicare Hlth Sys Mry Brdg Chl,WA
MBE,Medical Center Of Southestrn OK,OK
MBF,Morris Hospital & Healthcare,IL
MBG,Mclaren-Flint,MI
MBH,Grand Strand Regional Med Ctr,SC
MBJ,Menorah Medical Center,KS
MBL,Muleshoe Area Medical Center,TX
MBM,Memorial Hospital Of South Bend,IN
MBN,Mercy Suburban Hospital,PA
MBQ,Madison County Hospital,OH
MBR,Madera Community Hospital,CA
MBT,Mercer County Community Hosp,OH
MBU,Memorial Hospital & Hlth Cr Ctr,IN
MBV,Manhattan Surgical Hospital,KS
MBW,Milford Regional Medical Center,MA
MBX,Morton Hospital,MA
MBY,Muncy Valley Hospital,PA
MBZ,Mercy San Juan Medical Center,CA
MC1,Miami Children's Hospital,FL
MC2,Memorial Health System East Txs,TX
MC3,Mc Nairy Regional Hospital,TN
MC4,Beth Israel Deaconess-Milton,MA
MC7,Mark Twain Medical Center,CA
MC8,Methodist Hospital Of Fayette,TN
MC9,Lewisgale Hospital Montgomery,VA
MCA,Mcallen Medical Center,TX
MCB,Park Nicollet Methodist Hosp,MN
MCC,Mercy Medical Center,WI
MCD,Creighton University Med Ctr,NE
MCE,Mitchell County Hospital Dstrct,TX
MCF,Sharp Mary Birch Hosp For Women,CA
MCG,Spectrum Health Big Rapids Hosp,MI
MCI,Montgomery County Memorial Hosp,IA
MCJ,Mercy Hospital,ND
MCK,Mckenzie Willamette Medical Ctr,OR
MCL,Mahnomen Health Center,MN
MCM,Mid Columbia Medical Center,OR
MCN,Murray-Calloway County Hospital,KY
MCO,Magnolia Regional Health Center,MS
MCP,Medcentral Mansfield Hospital,OH
MCQ,Memorial Healthcare,MI
MCR,McAlester Regional Health Ctr,OK
MCS,Mease Countryside Hospital,FL
MCT,Mid Coast Hospital,ME
MCX,Wadley Reg Med Cntr At Hope,AR
MCY,Carolinas Medical Center Mercy,NC
MCZ,Mc Kenzie Regional Hospital,TN
MD1,Menifee Valley Medical Center,CA
MD2,Medical Center Enterprise,AL
MD3,Magee Womens Hospital Of UPMC,PA
MD4,Maine Coast Memorial Hospital,ME
MD5,Via Christi Hospital Of Pttsbrg,KS
MD6,Margaret Mary Health,IN
MD7,Molokai General Hospital,HI
MD8,Miners Medical Center,PA
MD9,Saint Joseph Mount Sterling,KY
MDA,Medical City Dallas Hospital,TX
MDB,John Muir Medical Centr Concord,CA
MDC,Saint Vincent's East Hospital,AL
MDF,The Medical Center Of Plano,TX
MDG,Medina Hospital,OH
MDH,Nebraska Methodist Hospital,NE
MDJ,Manatee Memorial Hospital,FL
MDL,Ochsner Medical Ctr-West Bank,LA
MDM,Methodist Medical Center,TN
MDN,Methodist North Hospital,TN
MDP,Orleans Community Health Hsp,NY
MDR,Mcleod Regional Medical Center,SC
MDS,Mercy Medical Center,OH
MDT,Iowa Mthdst Med Ctr Untypt Hlth,IA
MDV,Mercy Southwest Hospital,CA
MDW,Olympia Medical Center,CA
MDX,Medical Center Central Georgia,GA
MDY,Coliseum Northside Hospital,GA
MDZ,Affinity Medical Center,OH
ME1,Montrose Memorial Hospital,CO
ME5,Middlesboro Applchn Reg Hlthcr,KY
ME6,Memorial Hospital Sweetwtr Cty,WY
ME7,Marshalltown Medical & Surgical,IA
ME8,Metrowest Medical Center,MA
MEC,Virginia Mason Medical Center,WA
MEE,Methodist Hospital Sthrn Calif,CA
MEG,Saint Joseph London,KY
MEH,Mercy Fitzgerald Hospital,PA
MEI,UPMC Mercy,PA
MEJ,Mease Dunedin Hospital,FL
MEL,First Hlth Carolns Mor Reg Hosp,NC
MEN,Carolinas Hospital Sys Marion,SC
MER,Mercy Medical Center,NY
MES,Methodist Specialty & Transplnt,TX
MET,New York Methodist Hospital,NY
MEU,Mena Regional Health Systems,AR
MEV,Mayes County Medical Center,OK
MEW,Meadowlands Hospital Med Ctr,NJ
MEY,Midwest Regional Medical Center,OK
MEZ,Macon County General Hospital,TN
MF1,Mon General Hospital,WV
MF2,Methodist University Hospital,TN
MF3,Memorial Hospital Of Tampa,FL
MF6,Metropolitan Methodist Hospital,TX
MF7,Methodist Hospital South,TN
MF8,Methodist Children's Hospital,TX
MF9,Montgomery Memorial Hospital,NC
MFA,Saint Joseph Mercy Port Huron,MI
MFB,Memorial Hospital Of Lafayette,WI
MFD,Marion General Hospital,OH
MFI,Edgerton Hospital & Health Svs,WI
MFJ,Meriter-UnityPoint Health Hosp,WI
MFK,Martha Jefferson Hospital,VA
MFL,Meadowview Regional Medical Ctr,KY
MFM,Memorial Medical Center,WI
MFN,Maricopa Intergrated Health Sys,AZ
MFS,Novant Hlth Med Park Hosp,NC
MFT,The Mcdowell Hospital,NC
MFU,Marshall Medical Center North,AL
MFV,Macneal Hospital,IL
MFW,Memorial Medical Center,CA
MFX,Madison Memorial Hospital,ID
MFY,Marshall Medical Center,CA
MFZ,Mercy Tiffin Hospital,OH
MG1,Tillman County City Frdrck Hosp,OK
MG2,Mercy Regional Medical Center,CO
MG3,Muhlenberg Community Hospital,KY
MG4,Miami County Medical Center,KS
MG5,Baylor Medical Center At Uptown,TX
MG7,Thomas Jefferson Univ Hosp,PA
MG8,Miller County Hospital,GA
MG9,Saint Catherine Regional Hosp,IN
MGB,Milford Hospital,CT
MGC,Mary Greeley Medical Center,IA
MGD,Mary Black Memorial Hospital,SC
MGE,Medical Center At Franklin,KY
MGF,Massachusetts Eye & Ear Infirm,MA
MGG,Marion General Hospital,IN
MGI,Meadows Regional Medical Center,GA
MGK,Essentia Health-Duluth,MN
MGL,Murphy Medical Center,NC
MGM,Maine General Medical Center,ME
MGO,Mesilla Valley Hospital,NM
MGP,Einstein Medical Ctr Montgomery,PA
MGQ,Mizell Memorial Hospital,AL
MGR,University Toledo Medical Ctr,OH
MGS,Madison County Memorial Hosp,FL
MGT,Medical Arts Hospital,TX
MGV,Mt Saint Mary's Hospital,NY
MGW,University Hospital Mcduffie,GA
MGX,Missouri Delta Medical Center,MO
MGY,Morristown-Hamblen Healthcare,TN
MGZ,Medical Center SE Texas Hosp,TX
MH2,Promedical Memorial Hospital,OH
MH4,St Luke's Mccall,ID
MH5,Madelia Community Hosp & Clin,MN
MH6,Maria Parham Medical Center,NC
MH7,Mercy Willard Hospital,OH
MH9,Madison Hospital,MN
MHB,Aurora Memorial Hosp Burlngtn,WI
MHC,Memorial Hospital,IL
MHD,Mckay Dee Hospital,UT
MHE,Mercy Medical Center,ND
MHF,Mckenzie County Hospital,ND
MHG,Sanford Medical Center,ND
MHH,Mendocino Coast District Hosp,CA
MHI,Mission Regional Medical Center,TX
MHK,Mount Graham Reg Med Ctr,AZ
MHL,Mount Nittany Medical Center,PA
MHM,Massena Memorial Hospital,NY
MHN,Menlo Park Surgical Hospital,CA
MHP,Houston Methodist Hospital,TX
MHS,Morehouse General Hospital,LA
MHV,Marlboro Park Hospital,SC
MHW,Piedmont Mountainside Hospital,GA
MHX,Minnesota Valley Health Center,MN
MHY,Murray Medical Center,GA
MI2,Masonicare Health Center,CT
MI3,Perham Health,MN
MI6,Madison Community Hospital,SD
MI8,Marian Regional Medical Center,CA
MIB,Memorial Hosp Mrtnsvll Hnry Cty,VA
MID,Atrium Medical Center,OH
MIF,Mid Valley Hospital,WA
